Geography,Geographic Area Name,Total,T_ Male,T_ Female,T_ African American,T_ American Indian/Alaska Native,T_ Asian,T_ Hawaiian/ Pacific Islander,T_ Two or more races,T_ Other race,T_ Hispanic or Latino,T_ White,BP_Total,BP_ Male,BP_ Female,BP_ African American%,BP_ Asian%,BP_ Two or more races%,BP_ Hispanic or Latino%,BP_ White%,T_Households,Households<$10k,Households>$200k,Median income,Mean income,BP_ Total%,state,county
0500000US01001,"Autauga County, Alabama",58291,28287,30004,11358,59,658,0,2473,313,1862,42320,6630,2914,3716,17.1,2.7,17.4,14.3,9.5,22308,4.4,7.4,68315,90372,11.4,01,001
0500000US01003,"Baldwin County, Alabama",229539,111484,118055,18560,745,2046,31,10408,4199,10777,189822,23445,9819,13626,24.5,8.2,16.4,27.6,7.7,90802,4.5,9.1,71039,96027,10.2,01,003
0500000US01005,"Barbour County, Alabama",21851,10122,11729,10134,23,122,3,503,1068,1114,9813,5280,2023,3257,33.3,0.0,52.1,62.2,9.7,9016,10.2,3.8,39712,60128,24.2,01,005
0500000US01007,"Bibb County, Alabama",20836,10607,10229,3856,21,69,0,553,104,637,15885,4297,2307,1990,41.9,0.0,9.2,32.7,15.3,7216,7.6,3.5,50669,65131,20.6,01,007
0500000US01009,"Blount County, Alabama",58399,29527,28872,608,227,100,117,2083,1845,5698,50092,8277,3624,4653,14.6,0.0,14.1,32.8,12.3,21626,6.7,4.9,57440,75954,14.2,01,009
0500000US01011,"Bullock County, Alabama",9616,4926,4690,6643,0,43,0,194,544,880,1920,2687,1277,1410,32.6,100.0,61.3,39.5,3.8,3450,12.8,2.3,36136,52269,27.9,01,011
0500000US01013,"Butler County, Alabama",18652,8748,9904,8397,69,243,0,366,57,322,9398,3937,1458,2479,32.8,17.7,30.9,26.4,10.5,7131,6.0,3.3,44429,65988,21.1,01,013
0500000US01015,"Calhoun County, Alabama",112350,54506,57844,24522,258,731,193,3561,2197,4576,79567,20267,8375,11892,26.1,13.8,28.3,39.6,14.1,44693,8.0,3.4,54339,69213,18.0,01,015
0500000US01017,"Chambers County, Alabama",34008,16140,17868,13828,12,60,3,519,230,1107,18508,6080,2550,3530,21.5,30.0,1.5,39.1,14.2,13143,5.1,3.5,48805,64377,17.9,01,017
0500000US01019,"Cherokee County, Alabama",24658,12122,12536,923,120,27,0,756,206,475,22491,3516,1606,1910,11.2,100.0,27.0,41.5,13.3,9997,4.5,3.0,46621,65664,14.3,01,019
0500000US01021,"Chilton County, Alabama",44441,21753,22688,4202,647,229,136,1517,1512,3526,35219,6422,3044,3378,25.4,8.3,18.7,22.4,12.7,16931,5.4,3.3,62471,73650,14.5,01,021
0500000US01023,"Choctaw County, Alabama",12475,5877,6598,4969,28,13,0,299,85,138,7068,2388,1000,1388,28.5,0.0,31.8,13.0,12.4,5228,9.6,2.6,43299,61685,19.1,01,023
0500000US01025,"Clarke County, Alabama",22687,10901,11786,10389,15,88,0,396,194,330,11552,5073,2346,2727,32.7,2.3,9.1,7.3,12.9,8188,10.7,3.5,47549,71413,22.4,01,025
0500000US01027,"Clay County, Alabama",13887,6788,7099,1745,5,36,0,663,128,437,11114,2440,1144,1296,37.3,69.4,38.8,16.7,12.9,5485,8.3,2.2,48074,69549,17.6,01,027
0500000US01029,"Cleburne County, Alabama",14978,7486,7492,336,33,15,0,390,263,401,13877,1931,848,1083,6.3,0.0,34.6,28.7,12.0,5761,7.4,2.6,51553,71645,12.9,01,029
0500000US01031,"Coffee County, Alabama",52713,26068,26645,8852,368,563,8,3678,1083,4483,36219,8592,3471,5121,34.0,3.0,20.9,36.1,9.8,20363,6.4,4.7,62199,78477,16.3,01,031
0500000US01033,"Colbert County, Alabama",56667,27763,28904,9135,132,214,53,1543,1395,1837,43982,8998,4159,4839,30.6,2.8,33.5,38.3,11.5,23266,7.1,3.7,56149,71460,15.9,01,033
0500000US01035,"Conecuh County, Alabama",11514,5605,5909,5578,33,36,0,113,24,80,5730,2122,924,1198,27.1,41.7,22.1,72.5,10.0,4453,8.7,3.0,39888,56230,18.4,01,035
0500000US01037,"Coosa County, Alabama",9969,5011,4958,2923,9,0,0,249,75,284,6486,1102,545,557,23.5,0,2.0,0.0,6.3,3999,2.1,2.2,52279,69810,11.1,01,037
0500000US01039,"Covington County, Alabama",36847,17810,19037,4348,112,218,0,876,293,737,30554,6921,2981,3940,31.3,56.0,10.6,29.0,16.8,14194,7.3,4.6,48772,69704,18.8,01,039
0500000US01041,"Crenshaw County, Alabama",12895,6300,6595,3039,10,154,0,448,142,335,8942,1916,910,1006,24.4,0.0,45.1,14.3,10.4,4839,9.3,4.3,48557,78621,14.9,01,041
0500000US01043,"Cullman County, Alabama",87201,43243,43958,791,355,278,27,4096,1459,4034,79307,11364,5161,6203,18.7,30.9,17.4,23.4,12.2,33649,5.0,4.5,58119,75873,13.0,01,043
0500000US01045,"Dale County, Alabama",48342,23773,24569,10192,476,531,17,1832,1058,3350,32735,8469,3896,4573,25.9,7.5,15.4,18.1,15.0,19400,6.8,2.7,52813,67432,17.5,01,045
